latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,vpd,tmmx_C,pr,wind_speed,wind_direction,
34.1113,-118.52371,342.99,0.41,0.6,1/10/2025,2008,N,VIIRS,n,2,302.99,94.14,D,0,0.91865385,21.957703,2.9662087,2.857143,195.84065,
34.11497,-118.53207,367,0.51,0.66,1/10/2025,2148,N,VIIRS,h,2,348,108.38,D,0,0.91865385,21.957703,2.9662087,2.857143,195.84065,
34.09404,-117.53134,336.45,0.52,0.41,1/11/2016,921,N,VIIRS,n,2,281.05,3.8,N,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
34.60851,-117.33512,298.99,0.5,0.41,1/11/2017,957,N,VIIRS,n,2,272.75,0.82,N,2,1.5857692,23.445892,0.5857143,4.446978,200.95055,
34.09285,-117.53065,335.78,0.4,0.45,1/11/2017,2116,N,VIIRS,n,2,289.72,3.36,D,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
34.60939,-117.33709,304.43,0.41,0.45,1/11/2018,912,N,VIIRS,n,2,278.03,0.96,N,2,1.5857692,23.445892,0.5857143,4.446978,200.95055,
34.09196,-117.53188,322.59,0.41,0.45,1/11/2018,913,N,VIIRS,n,2,281.42,2.77,N,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
34.09472,-117.53376,326.35,0.51,0.41,1/11/2018,2032,N,VIIRS,n,2,295.61,1.98,D,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
34.15294,-118.19193,306.37,0.44,0.46,1/11/2019,1009,N,VIIRS,n,2,277.57,1.43,N,2,1.0561813,23.195343,2.454945,2.4376373,186.12637,
34.60934,-117.33477,303.52,0.45,0.39,1/11/2020,924,N,VIIRS,n,2,273.7,1.65,N,2,1.5857692,23.445892,0.5857143,4.446978,200.95055,
33.85201,-118.33041,299.18,0.48,0.4,1/11/2020,925,N,VIIRS,n,2,284.78,2.2,N,0,0.70722526,21.214294,1.7609891,2.31511,224.31044,
34.62239,-117.10143,309.37,0.4,0.44,1/11/2021,1002,N,VIIRS,n,2,275.26,1.51,N,2,1.5857692,23.445892,0.5857143,4.446978,200.95055,
34.60831,-117.33526,305.16,0.51,0.41,1/11/2022,919,N,VIIRS,n,2,274.87,2.07,N,2,1.5857692,23.445892,0.5857143,4.446978,200.95055,
34.07835,-117.50238,297.2,0.58,0.52,1/11/2023,1017,N,VIIRS,n,2,278.11,0.9,N,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
34.15352,-118.19252,313.16,0.42,0.37,1/11/2024,932,N,VIIRS,n,2,277.97,1.7,N,2,1.0561813,23.195343,2.454945,2.4376373,186.12637,
34.12337,-118.54337,346.09,0.43,0.46,1/11/2025,1010,N,VIIRS,n,2,288.03,82.55,N,0,0.92104393,21.600555,2.9392858,2.857143,195.84065,
34.12474,-118.5439,367,0.73,0.76,1/11/2025,1949,N,VIIRS,h,2,334.71,413.5,D,0,0.92104393,21.600555,2.9392858,2.857143,195.84065,
34.1172,-118.54881,355.81,0.54,0.51,1/11/2025,2129,N,VIIRS,n,2,330.76,530.02,D,0,0.92104393,21.600555,2.9392858,2.857143,195.84065,
34.09455,-117.52908,329.55,0.4,0.37,1/12/2015,951,N,VIIRS,n,2,281.96,2.86,N,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
34.09513,-117.53558,311.99,0.62,0.54,1/12/2016,902,N,VIIRS,n,2,275.68,2.59,N,2,1.1181319,24.10962,1.8876374,2.9648352,208.9945,
34.09333,-117.52861,311.92,0.64,0.72,1/12/2016,1042,N,VIIRS,n,2,272.16,2.73,N,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
34.09501,-117.5325,337.79,0.49,0.49,1/12/2016,2021,N,VIIRS,n,2,296,3.18,D,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
